<onlyinclude>{{<includeonly>#invoke:Data|set</includeonly><noinclude>Hero/Lua</noinclude>
 |flavor = ...
 |browser_position = Front
 |browser_role1 = Boss
 |browser_stone_source1 = 
 |browser_stone_source2 = 
 |browser_main_stat = Strength
 |browser_glyph1 = Physical attack
 |browser_glyph2 = Armor
 |browser_glyph3 = Health
 |browser_glyph4 = Magic defense
 |browser_artifact_weapon = Harunian Sword
 |browser_artifact_weapon_attribute = Physical attack
 |browser_artifact_weapon_value = 21357
 |browser_artifact_book = Defender's Covenant
 |browser_base_agility = 10
 |browser_base_health = 500
 |browser_base_intelligence = 15
 |browser_base_physical_attack = 55
 |browser_base_strength = 20
 |browser_star = 1
 |browser_star1_agility = 3
 |browser_star1_intelligence = 3
 |browser_star1_strength = 4
 |browser_star2_agility = 5
 |browser_star2_intelligence = 4
 |browser_star2_strength = 6
 |browser_star3_agility = 7
 |browser_star3_intelligence = 6
 |browser_star3_strength = 9
 |browser_star4_agility = 10
 |browser_star4_intelligence = 8
 |browser_star4_strength = 12
 |browser_star5_agility = 13
 |browser_star5_intelligence = 11
 |browser_star5_strength = 16
 |browser_star6_agility = 17
 |browser_star6_intelligence = 13
 |browser_star6_strength = 20
 |browser_basic_attack_damage_type = physical
 |browser_basic_attack_attribute = Physical attack
 |browser_skill_white_name = nil
 |browser_skill_white_prime_damage_type = physical
 |browser_skill_white_prime_attribute = Physical attack
 |browser_skill_white_prime_scale = 0.3
 |browser_skill_white_prime_level = 60
 |browser_skill_white_hits = 15
 |browser_skill_white_format = 
Prime: %prime%
Hits: %hits%
 |browser_skill_green_name = nil
 |browser_skill_green_prime_damage_type = physical
 |browser_skill_green_prime_attribute = Physical attack
 |browser_skill_green_prime_scale = 0.4
 |browser_skill_green_prime_level = 25
 |browser_skill_green_cooldown = 12.5
 |browser_skill_green_format = 
Prime: %prime%
Cooldown: %cooldown%
 |browser_skill_blue_name = nil
 |browser_skill_blue_prime_damage_type = physical
 |browser_skill_blue_prime_attribute = Physical attack
 |browser_skill_blue_prime_scale = 0.8
 |browser_skill_blue_prime_level = 50
 |browser_skill_blue_prime_base = -1000
 |browser_skill_blue_cooldown = 20.5
 |browser_skill_blue_format = 
Prime: %prime%
Cooldown: %cooldown%
 |browser_skill_violet_name = nil
 |browser_skill_violet_prime_damage_type = dot
 |browser_skill_violet_prime_attribute = Physical attack
 |browser_skill_violet_prime_scale = 0.2
 |browser_skill_violet_prime_level = 25
 |browser_skill_violet_format = 
Prime: %prime%
 |browser_gear_white0_1 = White/Orcish Knuckles
 |browser_gear_white0_2 = White/Wooden Shield
 |browser_gear_white0_3 = White/Steel Pauldron
 |browser_gear_white0_4 = White/Lucky Dice
 |browser_gear_white0_5 = White/Orcish Yatagan
 |browser_gear_white0_6 = White/Orcish Hammer
 |browser_gear_green0_1 = White/Imperial Shield
 |browser_gear_green0_2 = White/Lucky Dice
 |browser_gear_green0_3 = White/Sledgehammer
 |browser_gear_green0_4 = White/Orcish Hammer
 |browser_gear_green0_5 = Green/Cuirass
 |browser_gear_green0_6 = Green/Fire Sword
 |browser_gear_green1_1 = White/Sledgehammer
 |browser_gear_green1_2 = White/Orcish Hammer
 |browser_gear_green1_3 = Green/Cain's Seal
 |browser_gear_green1_4 = Green/Fire Sword
 |browser_gear_green1_5 = Green/Poleaxe
 |browser_gear_green1_6 = Green/Shining Armor
 |browser_gear_blue0_1 = Green/Branch of Antiaris
 |browser_gear_blue0_2 = Green/Screaming Blade
 |browser_gear_blue0_3 = Green/Elven Armor
 |browser_gear_blue0_4 = Green/Traitor's Shield
 |browser_gear_blue0_5 = Blue/Needle
 |browser_gear_blue0_6 = Blue/Serenity Stone
 |browser_gear_blue1_1 = Green/Wall-Breaker
 |browser_gear_blue1_2 = Green/Shining Armor
 |browser_gear_blue1_3 = Green/Poleaxe
 |browser_gear_blue1_4 = Blue/Needle
 |browser_gear_blue1_5 = Blue/Serenity Stone
 |browser_gear_blue1_6 = Blue/Sacrificial Dagger
 |browser_gear_blue2_1 = Green/Screaming Blade
 |browser_gear_blue2_2 = Green/Poleaxe
 |browser_gear_blue2_3 = Blue/Needle
 |browser_gear_blue2_4 = Blue/Thunderfoot Boots
 |browser_gear_blue2_5 = Blue/Sacrificial Dagger
 |browser_gear_blue2_6 = Blue/Hand of Midas
 |browser_gear_violet0_1 = Blue/Storm Hammer
 |browser_gear_violet0_2 = Blue/Dark Grail
 |browser_gear_violet0_3 = Blue/Sacrificial Dagger
 |browser_gear_violet0_4 = Blue/Prince of Thieves' Armor
 |browser_gear_violet0_5 = Violet/Giant-Slayer
 |browser_gear_violet0_6 = Violet/Dragon Shield
 |browser_gear_violet1_1 = Blue/Dragonslayer's Spear
 |browser_gear_violet1_2 = Blue/Sacrificial Dagger
 |browser_gear_violet1_3 = Blue/Prince of Thieves' Armor
 |browser_gear_violet1_4 = Violet/Dragon Shield
 |browser_gear_violet1_5 = Violet/Flaming Heart
 |browser_gear_violet1_6 = Violet/Lion Helmet
 |browser_gear_violet2_1 = Blue/Sacrificial Dagger
 |browser_gear_violet2_2 = Blue/Prince of Thieves' Armor
 |browser_gear_violet2_3 = Violet/Flaming Heart
 |browser_gear_violet2_4 = Violet/Apostle's Mace
 |browser_gear_violet2_5 = Violet/Executioner's Sword
 |browser_gear_violet2_6 = Violet/World Tremor
 |browser_gear_violet3_1 = Blue/Hand of Midas
 |browser_gear_violet3_2 = Violet/Apostle's Mace
 |browser_gear_violet3_3 = Violet/Executioner's Sword
 |browser_gear_violet3_4 = Violet/Wasp
 |browser_gear_violet3_5 = Violet/World Tremor
 |browser_gear_violet3_6 = Violet/Cosmic Tremor
 |browser_gear_orange0_1 = Violet/Lion Helmet
 |browser_gear_orange0_2 = Violet/Executioner's Sword
 |browser_gear_orange0_3 = Violet/Apostle's Mace
 |browser_gear_orange0_4 = Violet/Cosmic Tremor
 |browser_gear_orange0_5 = Orange/Harunian Helm
 |browser_gear_orange0_6 = Orange/Lycanthrope's Fang
 |browser_gear_orange1_1 = Violet/Governor
 |browser_gear_orange1_2 = Violet/Wasp
 |browser_gear_orange1_3 = Violet/Cosmic Tremor
 |browser_gear_orange1_4 = Orange/Harunian Helm
 |browser_gear_orange1_5 = Orange/Lycanthrope's Fang
 |browser_gear_orange1_6 = Orange/Blued Plate Armor
 |browser_gear_orange2_1 = Violet/Executioner's Sword
 |browser_gear_orange2_2 = Violet/Lion Helmet
