<onlyinclude>{{<includeonly>#invoke:Data|set</includeonly><noinclude>Hero/Lua</noinclude>
 |flavor = Knowing no fear or doubt, sturdy as Kharunian steel, Galahad moves only forward. His confidence in himself and his allies has kept the great warrior strong for many years.
 |browser_position = Front
 |browser_role1 = Tank
 |browser_stone_source1 = 
 |browser_stone_source2 = 
 |browser_main_stat = Strength
 |browser_skin1_name = Angel Skin
 |browser_skin1_attribute = Physical attack
 |browser_skin1_value = 7095
 |browser_skin2_name = Champion's Skin
 |browser_skin2_attribute = Health
 |browser_skin2_value = 106870
 |browser_skin3_name = Romantic Skin
 |browser_skin3_attribute = Armor
 |browser_skin3_value = 10650
 |browser_glyph1 = Physical attack
 |browser_glyph2 = Armor
 |browser_glyph3 = Health
 |browser_glyph4 = Magic defense
 |browser_artifact_weapon = Harunian Sword
 |browser_artifact_weapon_attribute = Physical attack
 |browser_artifact_weapon_value = 21357
 |browser_artifact_book = Defender's Covenant
 |browser_base_agility = 10
 |browser_base_health = 500
 |browser_base_intelligence = 15
 |browser_base_physical_attack = 55
 |browser_base_strength = 20
 |browser_star = 1
 |browser_star1_agility = 3
 |browser_star1_intelligence = 3
 |browser_star1_strength = 4
 |browser_star2_agility = 5
 |browser_star2_intelligence = 4
 |browser_star2_strength = 6
 |browser_star3_agility = 7
 |browser_star3_intelligence = 6
 |browser_star3_strength = 9
 |browser_star4_agility = 10
 |browser_star4_intelligence = 8
 |browser_star4_strength = 12
 |browser_star5_agility = 13
 |browser_star5_intelligence = 11
 |browser_star5_strength = 16
 |browser_star6_agility = 17
 |browser_star6_intelligence = 13
 |browser_star6_strength = 20
 |browser_basic_attack_damage_type = physical
 |browser_basic_attack_attribute = Physical attack
 |browser_skill_white_name = Iron Skies
 |browser_skill_white_prime_damage_type = physical
 |browser_skill_white_prime_attribute = Physical attack
 |browser_skill_white_prime_scale = 0.3
 |browser_skill_white_prime_level = 60
 |browser_skill_white_format = 
%name% brings down swords of justice on the enemies' heads.
Hit damage: %prime%
 |browser_skill_green_name = Unstoppable Charge
 |browser_skill_green_prime_damage_type = physical
 |browser_skill_green_prime_attribute = Physical attack
 |browser_skill_green_prime_scale = 0.5
 |browser_skill_green_prime_level = 50
 |browser_skill_green_initial_cooldown = 12
 |browser_skill_green_cooldown = 28
 |browser_skill_green_format = 
Dashes forward, removing control effects and dealing damage to enemies nearby.
Initial cooldown: %initial_cooldown%
Prime: %prime%
Cooldown: %cooldown%
 |browser_skill_blue_name = Retaliation
 |browser_skill_blue_prime_damage_type = physical
 |browser_skill_blue_prime_attribute = Physical attack
 |browser_skill_blue_prime_scale = 0.8
 |browser_skill_blue_prime_level = 50
 |browser_skill_blue_prime_base = -1000
 |browser_skill_blue_cooldown = 20.5
 |browser_skill_blue_format = 
Performs a special move, striking the enemy with the lowest health.
Prime: %prime%
Cooldown: %cooldown%
 |browser_skill_violet_name = Harun's Pride
 |browser_skill_violet_prime_damage_type = dot
 |browser_skill_violet_prime_attribute = Physical attack
 |browser_skill_violet_prime_scale = 0.2
 |browser_skill_violet_prime_level = 25
 |browser_skill_violet_format = 
The Iron Skies skill now deals an extra %prime% pure damage.
Extra damage: %prime%
 |browser_gear_white0_1 = White/Orcish Knuckles
 |browser_gear_white0_2 = White/Wooden Shield
 |browser_gear_white0_3 = White/Steel Pauldron
 |browser_gear_white0_4 = White/Lucky Dice
