<onlyinclude>{{<includeonly>#invoke:Data|set</includeonly><noinclude>Hero/Lua</noinclude>
 |flavor = Duke's daughter Ginger Hayes isn't fond of noble evenings and quiet gossips. She is very into science and modern technology, using its powers to protect the innocent from offsprings of darkness. The best helper here is her own creation - the chain-gun "Noble".
 |browser_position = Back
 |browser_role1 = Marksman
 |browser_stone_source1 = 
 |browser_stone_source2 = 
 |browser_main_stat = Agility
 |browser_skin1 = Devil Skin
 |browser_skin1_attribute = Physical attack
 |browser_skin1_value = 7095
 |browser_skin2 = Champion's Skin
 |browser_skin2_attribute = Physical attack
 |browser_skin2_value = 7117
 |browser_skin3 = Spring Skin
 |browser_skin3_attribute = Armor penetration
 |browser_skin3_value = 10650
 |browser_glyph1 = Physical attack
 |browser_glyph2 = Health
 |browser_glyph3 = Magic defense
 |browser_glyph4 = Armor penetration
 |browser_artifact_weapon = Noble Mk.2
 |browser_artifact_weapon_attribute = Physical attack
 |browser_artifact_weapon_value = 7119
 |browser_artifact_book = Alchemist's Folio
 |browser_base_agility = 20
 |browser_base_health = 500
 |browser_base_intelligence = 15
 |browser_base_physical_attack = 60
 |browser_base_strength = 10
 |browser_star = 2
 |browser_star2_agility = 6
 |browser_star2_intelligence = 5
 |browser_star2_strength = 5
 |browser_star3_agility = 8
 |browser_star3_intelligence = 7
 |browser_star3_strength = 7
 |browser_star4_agility = 11
 |browser_star4_intelligence = 9
 |browser_star4_strength = 10
 |browser_star5_agility = 16
 |browser_star5_intelligence = 11
 |browser_star5_strength = 13
 |browser_star6_agility = 22
 |browser_star6_intelligence = 13
 |browser_star6_strength = 15
 |browser_basic_attack_attribute = Physical attack
 |browser_basic_attack_damage_type = physical
 |browser_skill_white_name = Lead Storm
 |browser_skill_white_prime_attribute = Physical attack
 |browser_skill_white_prime_damage_type = physical
 |browser_skill_white_prime_scale = 0.1
 |browser_skill_white_prime_level = 20
 |browser_skill_white_hits = 7
 |browser_skill_white_format = 
Quickly fires %hits% buckshot rounds from the pistol, damaging all enemies.
Damage per shot: %prime%
 |browser_skill_green_name = Penetrating Shot
 |browser_skill_green_prime_attribute = Physical attack
 |browser_skill_green_prime_damage_type = physical
 |browser_skill_green_prime_scale = 0.6
 |browser_skill_green_prime_level = 65
 |browser_skill_green_cooldown = 13.5
 |browser_skill_green_format = 
Fires a missile that penetrates the enemy and hits the enemy directly behind them.
Damage: %prime%
Cooldown: 13.5
 |browser_skill_blue_name = Suppressive Fire
 |browser_skill_blue_prime_attribute = Physical attack
 |browser_skill_blue_prime_damage_type = physical
 |browser_skill_blue_prime_scale = 0.2
 |browser_skill_blue_prime_level = 45
 |browser_skill_blue_prime_base = -700
 |browser_skill_blue_cooldown = 19
 |browser_skill_blue_format = 
Shoots in the air, damaging the whole enemy team with buckshot.
Damage: %prime%
Cooldown: 19
 |browser_skill_violet_name = Ranging Shot
 |browser_skill_violet_prime_attribute = Physical attack
 |browser_skill_violet_prime_damage_type = physical
 |browser_skill_violet_prime_scale = 1.4
 |browser_skill_violet_prime_level = 100
 |browser_skill_violet_prime_base = -4000
 |browser_skill_violet_format = 
Each consecutive shot with the basic attack deals extra physical damage. If the current target of %name% dies, the extra damage is reset.
Maximum extra damage: %prime%
 |browser_gear_white0_1 = White/Orcish Knuckles
 |browser_gear_white0_2 = White/Wooden Shield
 |browser_gear_white0_3 = White/Quiver
 |browser_gear_white0_4 = White/Steel Pauldron
 |browser_gear_white0_5 = White/Orcish Yatagan
 |browser_gear_white0_6 = White/Crossbow
 |browser_gear_green0_1 = White/Lucky Dice
 |browser_gear_green0_2 = White/Imperial Shield
 |browser_gear_green0_3 = White/Crossbow
 |browser_gear_green0_4 = White/Ashen Bow
 |browser_gear_green0_5 = Green/Tracker's Boots
 |browser_gear_green0_6 = Green/Fire Sword
 |browser_gear_green1_1 = White/Orcish Yatagan
 |browser_gear_green1_2 = White/Orcish Hammer
 |browser_gear_green1_3 = Green/Cuirass
 |browser_gear_green1_4 = Green/Guardian's Shield
 |browser_gear_green1_5 = Green/Portal Key
 |browser_gear_green1_6 = Green/Elven Bow
 |browser_gear_blue0_1 = Green/Cain's Seal
 |browser_gear_blue0_2 = Green/Cuirass
 |browser_gear_blue0_3 = Green/Elven Saber
 |browser_gear_blue0_4 = Green/Spear of Thunder
 |browser_gear_blue0_5 = Blue/Ghostly Blade
 |browser_gear_blue0_6 = Blue/Dragon's Heart
 |browser_gear_blue1_1 = Green/Guardian's Shield
 |browser_gear_blue1_2 = Green/Cursed Dagger
 |browser_gear_blue1_3 = Green/Sword of Storms
 |browser_gear_blue1_4 = Blue/Needle
 |browser_gear_blue1_5 = Blue/Serenity Stone
 |browser_gear_blue1_6 = Blue/Ghostly Blade
 |browser_gear_blue2_1 = Green/Elven Saber
 |browser_gear_blue2_2 = Green/Poleaxe
 |browser_gear_blue2_3 = Blue/Enchanted Lute
 |browser_gear_blue2_4 = Blue/Dragon's Heart
 |browser_gear_blue2_5 = Blue/Punishing Hand
 |browser_gear_blue2_6 = Blue/Dragonslayer's Spear
 |browser_gear_violet0_1 = Blue/Serenity Stone
 |browser_gear_violet0_2 = Blue/Dark Grail
 |browser_gear_violet0_3 = Blue/Punishing Hand
 |browser_gear_violet0_4 = Blue/Dark Grail
 |browser_gear_violet0_5 = Violet/Giant-Slayer
 |browser_gear_violet0_6 = Violet/Blade Bow
 |browser_gear_violet1_1 = Blue/Tracker's Shield
 |browser_gear_violet1_2 = Blue/Ghostly Blade
