<onlyinclude>{{<includeonly>#invoke:Data|set</includeonly><noinclude>Hero/Lua</noinclude>
 |flavor = You should not underestimate Jet, the insect exterminator from Tornville! Fascinated by his craft and science, he would spend all of his time in the laboratory. A simple goblin who found a way not only to poison other creatures, but also to heal them and evolve their skills, he quickly caught the attention of the Guardians.
 |browser_position = Back
 |browser_role1 = Support
 |browser_role2 = Healer
 |browser_stone_source1 = 
 |browser_stone_source2 = 
 |browser_main_stat = Intelligence
 |browser_skin1 = Barbarian Skin
 |browser_skin1_attribute = Magic attack
 |browser_skin1_value = 10650
 |browser_skin2 = Lunar Skin
 |browser_skin2_attribute = Health
 |browser_skin2_value = 106645
 |browser_skin3 = Romantic Skin
 |browser_skin3_attribute = Armor
 |browser_skin3_value = 10650
 |browser_glyph1 = Magic attack
 |browser_glyph2 = Health
 |browser_glyph3 = Magic defense
 |browser_glyph4 = Dodge
 |browser_artifact_weapon = Jet Cannon
 |browser_artifact_weapon_attribute = Armor
 |browser_artifact_weapon_value = 10680
 |browser_artifact_book = Book of Illusions
 |browser_base_agility = 15
 |browser_base_dodge = 100
 |browser_base_health = 500
 |browser_base_intelligence = 10
 |browser_base_physical_attack = 50
 |browser_base_strength = 20
 |browser_star = 2
 |browser_star2_agility = 3
 |browser_star2_intelligence = 8
 |browser_star2_strength = 4
 |browser_star3_agility = 5
 |browser_star3_intelligence = 11
 |browser_star3_strength = 6
 |browser_star4_agility = 7
 |browser_star4_intelligence = 15
 |browser_star4_strength = 8
 |browser_star5_agility = 10
 |browser_star5_intelligence = 19
 |browser_star5_strength = 11
 |browser_star6_agility = 12
 |browser_star6_intelligence = 25
 |browser_star6_strength = 13
 |browser_basic_attack_attribute = Physical attack
 |browser_basic_attack_damage_type = physical
 |browser_skill_white_name = Elixir of Vigor
 |browser_skill_white_prime_attribute = Magic attack
 |browser_skill_white_prime_damage_type = PA buff
 |browser_skill_white_prime_scale = 0.2
 |browser_skill_white_prime_level = 50
 |browser_skill_white_secondary_magic_attack = 0.25
 |browser_skill_white_secondary_level = 50
 |browser_skill_white_duration = -1
 |browser_skill_white_format = 
%name% channels the flow of life-giving elixir to the ally with the greatest Physical attack and starts slowly spending energy. Until the energy runs out or %name% gets interrupted, that ally receives increased Physical attack, a 30% bonus to speed, and a Health regen effect.
Physical attack boost: %prime% Health regen per second: %secondary%
Duration: -1
 |browser_skill_green_name = Acid Shot
 |browser_skill_green_prime_attribute = Magic attack
 |browser_skill_green_prime_damage_type = armor debuff
 |browser_skill_green_prime_scale = 0.1
 |browser_skill_green_prime_level = 25
 |browser_skill_green_duration = 8
 |browser_skill_green_cooldown = 8
 |browser_skill_green_format = 
%name% shoots acid at the enemy with the highest Armor, decreasing their Armor for %duration%
Temporary Armor Reduction: %prime%
Cooldown: 8
 |browser_skill_blue_name = Potion of Fatigue
 |browser_skill_blue_duration = 8
 |browser_skill_blue_cooldown = 12
 |browser_skill_blue_format = 
%name% launches a poisoned potion flask at the closest enemies. Affected enemies cannot regenerate Health for %duration%
Potion effect chance is lowered for enemies above level %level%
Cooldown: 12
 |browser_skill_violet_name = Inordinate Fury
 |browser_skill_violet_prime_attribute = Magic attack
 |browser_skill_violet_prime_damage_type = flat crit +
 |browser_skill_violet_prime_scale = 0.025
 |browser_skill_violet_prime_level = 15
 |browser_skill_violet_prime_base = -500
 |browser_skill_violet_duration = -1
 |browser_skill_violet_format = 
While %name% is alive, all his allies have an increased critical hit chance.
Critical hit chance bonus: %prime%
Secondary: nil
Duration: -1
 |browser_gear_white0_1 = White/Wooden Shield
 |browser_gear_white0_2 = White/Oil Lamp
 |browser_gear_white0_3 = White/Apprentice's Mantle
 |browser_gear_white0_4 = White/Steel Pauldron
 |browser_gear_white0_5 = White/Lucky Dice
 |browser_gear_white0_6 = White/Censer
 |browser_gear_green0_1 = White/Steel Pauldron
 |browser_gear_green0_2 = White/Lucky Dice
 |browser_gear_green0_3 = White/Traveller's Staff
 |browser_gear_green0_4 = White/Wizard's Staff
 |browser_gear_green0_5 = Green/Light Crystal
 |browser_gear_green0_6 = Green/Lost Ring
 |browser_gear_green1_1 = White/Traveller's Staff
 |browser_gear_green1_2 = White/Wizard's Staff
 |browser_gear_green1_3 = Green/Light Crystal
 |browser_gear_green1_4 = Green/Lost Ring
 |browser_gear_green1_5 = Green/Enchanter's Staff
 |browser_gear_green1_6 = Green/Soul Catcher
 |browser_gear_blue0_1 = Green/Lost Ring
 |browser_gear_blue0_2 = Green/Wizard's Tiara
 |browser_gear_blue0_3 = Green/Traitor's Shield
